,Date,real_b,predict_b,se_b,real_g,predict_g,se_g,Iftrad
113,2017/1/2,1015.97,1004.403671,12.47057142,,1145.744847,20.30906474,FALSE
114,2017/1/3,1013.42,1025.571195,12.58821962,1151,1144.180053,22.4175963,TRUE
115,2017/1/4,1126.76,1023.828405,12.58339411,1164.25,1151.493124,9.981967023,TRUE
116,2017/1/5,994.67,1118.827082,15.41542005,1176.7,1168.740616,9.999029616,TRUE
117,2017/1/6,999.65,1101.163374,17.90565153,1175.85,1178.062197,9.848398012,TRUE
118,2017/1/7,896.83,1010.412371,18.38240574,,1173.917577,9.89642933,FALSE
119,2017/1/8,908.14,888.1060454,20.34092159,,1171.3095,14.6432326,FALSE
120,2017/1/9,910.49,916.2136687,20.34003706,1178.5,1168.974831,17.52828818,TRUE
121,2017/1/10,906.05,914.5870002,20.26282599,1189.5,1179.394591,9.901798236,TRUE
122,2017/1/11,785.22,899.2342383,20.19370234,1178.55,1191.350434,9.808735981,TRUE
123,2017/1/12,780.92,815.7040961,22.77237243,1205.05,1178.685335,9.894859952,TRUE
124,2017/1/13,826.29,739.3635985,22.8755391,1190.35,1207.690661,10.44241654,TRUE
125,2017/1/14,817.91,841.4314242,23.8737582,,1189.692533,10.51002585,FALSE
126,2017/1/15,819.55,811.9390885,23.86522949,,1190.621783,14.10741743,FALSE
127,2017/1/16,830.5,821.5089592,23.77943371,1203,1189.104471,16.67941658,TRUE
128,2017/1/17,903.84,826.0175407,23.69610937,1216.05,1203.391177,10.62170244,TRUE
129,2017/1/18,906.6,894.1048673,24.54960381,1214.75,1213.557759,10.38957351,TRUE
130,2017/1/19,895.798875,914.2814832,24.47654684,1196.05,1216.807329,10.2665078,TRUE
131,2017/1/20,893.6210875,893.4647272,24.43236368,1200.55,1197.953993,10.61632144,TRUE
132,2017/1/21,895.64,895.7784587,24.3390886,,1200.469884,10.52555985,FALSE
133,2017/1/22,918.603625,893.9892645,24.24711461,,1203.103909,14.45025562,FALSE
134,2017/1/23,922.0736125,916.6863812,24.2494604,1212.85,1201.677921,17.52475861,TRUE
135,2017/1/24,919.97,923.3321377,24.16334649,1216.8,1211.445459,10.42878383,TRUE
136,2017/1/25,893.045625,919.7216435,24.07535168,1195,1219.59899,10.5219057,TRUE
137,2017/1/26,915.95625,897.1229659,24.09587075,1189.7,1195.993568,10.70915739,TRUE
138,2017/1/27,915.05,909.6400271,24.06129221,1184.85,1191.490861,10.62658516,TRUE
139,2017/1/28,920.31225,919.5912786,23.97831528,,1184.991092,10.51313988,FALSE
140,2017/1/29,915.933,916.4652519,23.89170755,,1184.988054,14.20299456,FALSE
