,Date,real_b,predict_b,se_b
105,2016-12-25,892.6,901.2918648734624,11.997198610142238
106,2016-12-26,897.33,896.8534160295302,11.96255215582314
107,2016-12-27,930.37,901.3625884556816,11.906237050920264
108,2016-12-28,930.34,931.1922598336348,12.136245165021384
109,2016-12-29,963.38,940.2307934047976,12.079836761842936
110,2016-12-30,952.15,964.332972979478,12.192154786357314
111,2016-12-31,958.12,967.3740300144832,12.18491746036937
112,2017-01-01,997.72,958.164327460934,12.162064683006868
113,2017-01-02,1015.97,1004.4036710812663,12.470571418831465
114,2017-01-03,1013.42,1025.5711947639004,12.58821961628891
115,2017-01-04,1126.76,1023.8284054861338,12.583394111400631
116,2017-01-05,994.67,1118.8270815888322,15.415420046123533
117,2017-01-06,999.65,1101.1633736262897,17.905651531665907
118,2017-01-07,896.83,1010.4123711896573,18.38240574037041
